Re,alpha,CL,CD,CM
20000,-20,-0.544148765585992,0.2158033229057767,-0.004747152057750759
20000,-19.5,-0.5297423598223037,0.21019541900286645,-0.008542227831681588
20000,-19,-0.5155532484380586,0.2044997153983979,-0.012252692689218584
20000,-18.5,-0.5016091933416098,0.19873349301578216,-0.01586427959338787
20000,-18,-0.48793905276742844,0.19291809896639966,-0.01936461346402163
20000,-17.5,-0.47458743250762314,0.18707479379158706,-0.022747280660861846
20000,-17,-0.4616312687146007,0.18121737540093905,-0.026014132854178477
20000,-16.5,-0.44918904093486073,0.17534285047655732,-0.02917320911499767
20000,-16,-0.4374254035785659,0.16942248548831076,-0.032234744273298095
20000,-15.5,-0.4265676790844154,0.16339465994461674,-0.03521122404073686
20000,-15,-0.41694254461666247,0.15715992290272024,-0.038121483860181174
20000,-14.5,-0.40900810924915376,0.15058600370519615,-0.04098607142036774
20000,-14,-0.4033126395257384,0.14354858037320406,-0.043797058692345514
20000,-13.5,-0.40031216774507833,0.1360243606662846,-0.04647679674189295
20000,-13,-0.4001463492023919,0.12815637904395077,-0.04891054835309789
20000,-12.5,-0.40283599801353154,0.12010203972634413,-0.05115132532910616
20000,-12,-0.4096810637379152,0.11158399250584147,-0.05367607304985494
20000,-11.5,-0.4252481159919578,0.10165368378146979,-0.05706570384778264
20000,-11,-0.45240164522108856,0.09014418472874143,-0.06072700032632046
20000,-10.5,-0.4807128072455189,0.07938409654508602,-0.0630848290986231
20000,-10,-0.4979857540101421,0.07129417189321847,-0.06389565102571458
20000,-9.5,-0.5032853471381056,0.06546792493384473,-0.06392824760929151
20000,-9,-0.4989153744627971,0.060961559015733434,-0.06371122596216613
20000,-8.5,-0.4864640347812976,0.05721654910361343,-0.06346607823642865
20000,-8,-0.4677504430272438,0.053965107074006716,-0.06319477439306002
20000,-7.5,-0.4450277918846184,0.0510650650818035,-0.06273995323186687
20000,-7,-0.4203851225318044,0.04841941706476627,-0.06190693317104265
20000,-6.5,-0.39517481294915,0.04595482773435128,-0.060570572200507426
20000,-6,-0.3696612407020301,0.04366043371947117,-0.05870199933321603
20000,-5.5,-0.34296934046506933,0.0416598590714122,-0.05634610568882866
20000,-5,-0.3138348793693607,0.04017218003330981,-0.05363431517922976
20000,-4.5,-0.28184148377615675,0.03926762658237652,-0.05077842494612362
20000,-4,-0.2474572390133956,0.038771231989841365,-0.047953327645970614
20000,-3.5,-0.21132723641814466,0.03848410433742693,-0.045224434234744204
20000,-3,-0.1740914931574328,0.03829530160517831,-0.042586410447763894
20000,-2.5,-0.1363487258686667,0.03814194426675325,-0.04005716964014804
20000,-2,-0.09835069370437621,0.037990616254912415,-0.03773412841292523
20000,-1.5,-0.05985774040245218,0.03784722483634853,-0.03573330313451931
20000,-1,-0.020480297305342662,0.03775081997631857,-0.03409989592636689
20000,-0.5,0.01995275372477515,0.037746852003015585,-0.032798575106096226
20000,0,0.061339477661625424,0.03786640440064656,-0.03175628940518726
20000,0.5,0.10341812225620035,0.03812280050635121,-0.030898496212852414
20000,1,0.14586974740651773,0.03851728982960751,-0.030163857471244216
20000,1.5,0.1883682169829003,0.03904566823277453,-0.029506216251141165
20000,2,0.2305993978578359,0.03970328793523084,-0.02889313671929727
20000,2.5,0.2722750108639286,0.04048842353063106,-0.02830537215684446
20000,3,0.31314829690739254,0.04140434466865816,-0.02773697863870866
20000,3.5,0.35301895482207735,0.04246022058436994,-0.02719250950288644
20000,4,0.39171497627025015,0.04367068218686832,-0.026678959247523053
20000,4.5,0.4290679424431201,0.04505402802237113,-0.026197238297310178
20000,5,0.46491831331933675,0.04662971043709488,-0.025742065406846763
20000,5.5,0.4991544017268963,0.04841581152752169,-0.025310596137996896
20000,6,0.5317446819919744,0.05042655716345178,-0.0249095303639289
20000,6.5,0.5627355759821508,0.05266999117755454,-0.024553954308082444
20000,7,0.5922278178473577,0.055146798897679754,-0.024261183005781506
20000,7.5,0.6203536406974435,0.05785111667974433,-0.024044329847857697
20000,8,0.647259033159927,0.06077241572588219,-0.023905512938280523
20000,8.5,0.6730851574447276,0.06389614053527698,-0.023828033825779835
20000,9,0.6979487637493729,0.06720210693045643,-0.02377278249237296
20000,9.5,0.7219232531027271,0.07066332611356761,-0.023689319203106764
20000,10,0.745008619007711,0.07425027455034602,-0.02354782081264388
20000,10.5,0.7670699952247031,0.07794424522488627,-0.023380214825612842
20000,11,0.7877549875170562,0.08176093150441918,-0.02329821882247727
20000,11.5,0.8064782894961613,0.08578155034854808,-0.02346315989495224
20000,12,0.8226179617961722,0.0901674639948443,-0.024022060420336208
20000,12.5,0.8359204140493005,0.09510297324893792,-0.02505427140510134
20000,13,0.8467273353026599,0.10067663535651897,-0.026569884290929782
20000,13.5,0.8556516056591164,0.1068527290203118,-0.028558511919893923
20000,14,0.8630702614312799,0.11358270618312398,-0.0310370153568802
20000,14.5,0.8690189855381631,0.12089520259203126,-0.03406366568994917
20000,15,0.873498419842424,0.12884958520487916,-0.03771445399079887
20000,15.5,0.8768676311904778,0.13735837192909028,-0.0420128245947281
20000,16,0.8798383580394993,0.14606864597856759,-0.04685382571006176
20000,16.5,0.8828049057606144,0.15469883168124088,-0.05206362712443518
20000,17,0.8856544980115371,0.16352788884270486,-0.05762491312890957
20000,17.5,0.8890132949693805,0.17292664219321702,-0.06366760136298462
20000,18,0.894570278774728,0.18251069569906672,-0.07005568335907439
20000,18.5,0.9033965830821934,0.1914458992458182,-0.07631387585939567
20000,19,0.914987964613375,0.19935881847037626,-0.08211149823172763
20000,19.5,0.9281052242857053,0.20649120893245457,-0.08749253490319561
20000,20,0.9418045738175376,0.21322608264233567,-0.0926568711199803
20000,20.5,0.9556667770038664,0.21979332401868157,-0.09775522731071158
20000,21,0.9695900176510175,0.2262742610926892,-0.10285529595657433
20000,21.5,0.9835899289245117,0.23267973048034246,-0.1079746090019758
20000,22,0.997702625550586,0.23899953033347468,-0.11310935439361988
20000,22.5,1.0119520863301374,0.24522207867305054,-0.11824863465941098
20000,23,1.0263439075441971,0.2513396383721714,-0.12338008303417974
20000,23.5,1.04086730913476,0.257348328608118,-0.1284918019711889
20000,24,1.0554988569908235,0.26324677461689816,-0.1335729247044178
20000,24.5,1.0702060746588151,0.26903476011349875,-0.13861365151944355
20000,25,1.0849506053463975,0.27471228316227797,-0.143605066615938
20000,-20,-0.5474132633538994,0.22934037702236706,-0.0022718538874185084
20000,-19.5,-0.532074443151651,0.22429768052823693,-0.005630634813356471
20000,-19,-0.5169437202677838,0.21901905430538318,-0.009001903271345167
20000,-18.5,-0.5021742855836965,0.21344307433924112,-0.012419023892066724
20000,-18,-0.4879857905838373,0.20748848137116568,-0.015913753298616422
20000,-17.5,-0.4746661672613258,0.2010759286791202,-0.01950435873588634
20000,-17,-0.4625215951603561,0.19418270800706103,-0.023179051318344728
20000,-16.5,-0.4517554968414367,0.18691312125821294,-0.026882244451971772
20000,-16,-0.44232665722164277,0.1795202068824934,-0.03051504840275153
20000,-15.5,-0.4339139042895764,0.17231965154444565,-0.03395971503019476
20000,-15,-0.42609394356709074,0.16553137310049884,-0.037127269042107336
20000,-14.5,-0.4186643858482509,0.1591573827442668,-0.04000286871698741
20000,-14,-0.4118932956773101,0.15297115342636913,-0.042648513486325056
20000,-13.5,-0.406519552434498,0.14663719449823465,-0.04514883986882511
20000,-13,-0.4034793659133416,0.1399107905499136,-0.047539176320256483
20000,-12.5,-0.40355954929839566,0.1327578766938297,-0.04978997039476954
20000,-12,-0.4072918405791423,0.12527950792254997,-0.05187196330601301
20000,-11.5,-0.41518510667447817,0.11752616996572111,-0.05384961896680175
20000,-11,-0.42826642684400307,0.10932818871035757,-0.055949916950656056
20000,-10.5,-0.4490456925725273,0.10023915591533308,-0.05846690358897917
20000,-10,-0.4814862719697196,0.08997536976155325,-0.06106241446004704
20000,-9.5,-0.5241141427144266,0.07963677872508168,-0.0618426942076787
20000,-9,-0.5642399964127348,0.07129851987519588,-0.05912535037035477
20000,-8.5,-0.5923533870790236,0.06531712826839162,-0.05392179395157708
20000,-8,-0.6075118166861113,0.060687731096059905,-0.04814851542364627
20000,-7.5,-0.6110286463058843,0.056734557582599245,-0.04282030102528961
20000,-7,-0.6053957142762549,0.05329149455114314,-0.0380911651431651
20000,-6.5,-0.5937850219500287,0.050382365387724524,-0.033681327543941444
20000,-6,-0.578454815339116,0.04806493926545708,-0.029161732979664012
20000,-5.5,-0.5596139998747829,0.04641809629359691,-0.024182499586505993
20000,-5,-0.5360575051554404,0.04560003981699662,-0.01870167896681024
20000,-4.5,-0.5072629261436802,0.045649145939881466,-0.012897459244136312
20000,-4,-0.47359459649833446,0.046240259800361914,-0.007160589037603851
20000,-3.5,-0.4345596903646601,0.04683894273742859,-0.0025309464532439984
20000,-3,-0.3874314787135823,0.04703765693495738,-0.0004693001289927742
20000,-2.5,-0.330031842499975,0.046824956809404066,-0.0016513679646231174
20000,-2,-0.26358099181512373,0.04644401149188322,-0.005607530928814542
20000,-1.5,-0.19086214186324513,0.0461494694840478,-0.011470051566182122
20000,-1,-0.11495564662689503,0.04608656100497634,-0.018379321663704064
20000,-0.5,-0.03984412874321404,0.046275793865663495,-0.025404550999560366
20000,0,0.02971737608115415,0.04666253351933888,-0.03153931004605452
20000,0.5,0.08975296649232549,0.04717603066564702,-0.03596365666480484
20000,1,0.13862521026440858,0.0477713786908884,-0.03832403390411922
20000,1.5,0.17748985477904927,0.04844755092410203,-0.038813734973896244
20000,2,0.2096988657167366,0.049243791009300646,-0.038055052328780155
20000,2.5,0.2395503620247065,0.05021950028121129,-0.03685622359037777
20000,3,0.27076684779520516,0.051428093198206216,-0.0359184514568017
20000,3.5,0.30533506491556917,0.05289926102372975,-0.035615354320647885
20000,4,0.3433119541460251,0.05463694572403688,-0.035958472363081966
20000,4.5,0.3835079669919782,0.05662811940592735,-0.03672999970744402
20000,5,0.4243775037242661,0.05885288672146749,-0.03765357008320521
20000,5.5,0.46459462236815485,0.06129071270103794,-0.03850215452792892
20000,6,0.5032522977170295,0.06392282596973932,-0.039131399228023
20000,6.5,0.5398552535964212,0.0667325598631667,-0.03947326879510049
20000,7,0.5742488290546985,0.06970510121948564,-0.039520178139743664
20000,7.5,0.6065298813544486,0.07282769580383178,-0.03931012040929773
20000,8,0.6369322340984027,0.07609065945418478,-0.03891153951981875
20000,8.5,0.6656819822753918,0.07948893976481011,-0.03840532965398766
20000,9,0.6928564975192759,0.08302492396411892,-0.03786441693328196
20000,9.5,0.7183262622737095,0.08671322698057393,-0.037335471309761475
20000,10,0.7418451364341907,0.09057895763548522,-0.03683056928349357
20000,10.5,0.7632333090551954,0.09462755204738534,-0.036328685840609415
20000,11,0.782511306228737,0.09878850928208996,-0.03577873034023812
20000,11.5,0.7998926837113376,0.10291705816867219,-0.03512601625836944
20000,12,0.81558838172709,0.10695177003409445,-0.034403754119225624
20000,12.5,0.829636859518341,0.11107283533991763,-0.033822586172957816
20000,13,0.8421150561380321,0.11560037236333151,-0.0336808628478027
20000,13.5,0.8531073491082125,0.12085605836516525,-0.034213808435566956
20000,14,0.8622051635422131,0.12717140526225704,-0.035615246252539756
20000,14.5,0.8688818154618628,0.13475057709781238,-0.03802718600006557
20000,15,0.8733613573797164,0.14338897344338242,-0.04139689783041558
20000,15.5,0.87632476487122,0.15263580409139693,-0.04549510328447914
20000,16,0.87839312964393,0.16231899767997116,-0.05021545307666933
20000,16.5,0.8808616862100089,0.1723063088747469,-0.05559041546146629
20000,17,0.8857825799099973,0.18186347252281806,-0.06139355482935005
20000,17.5,0.8943795253505433,0.19006783520232765,-0.06713895000703189
20000,18,0.9060279782804245,0.19676839295582177,-0.072552585870324
20000,18.5,0.9192156132071931,0.2025675511073762,-0.07771531583838208
20000,19,0.932787187779333,0.20814435603076953,-0.08281913294540597
20000,19.5,0.946191202366182,0.21392484352748542,-0.08799500446891806
20000,20,0.9592348872115636,0.22011537246700824,-0.09329671329204982
20000,20.5,0.9719037405103024,0.22678471347336251,-0.098727630231453
20000,21,0.9843079992968496,0.23389532085676354,-0.10425853193791837
20000,21.5,0.9966538011590784,0.2413161413690727,-0.10983729375810193
20000,22,1.0091816857287834,0.24885365281787464,-0.11539911374567603
20000,22.5,1.0220890890051462,0.2563028281988466,-0.1208798576299092
20000,23,1.035477767739983,0.26349678011066385,-0.12622921147791452
20000,23.5,1.0493462040588446,0.2703342450009471,-0.13141805545462493
